stable_id,csv_display_name,csv_year_or_era,csv_image,csv_bio_url,repo_name,repo_year,repo_slug,wordpress_name,wordpress_year,wordpress_slug,live_name,live_visible,live_link_status,original_bio_file_match,original_bio_word_count,original_photo_file_match,original_photo_requires_visual_verification,canonical_bio_candidate,canonical_photo_candidate,biography_source_confidence,portrait_source_confidence,original_to_wordpress_text_similarity,prior_content_blocked,prior_media_blocked,remaining_biography_content_blocker,remaining_media_blocker,remaining_incomplete_biography,remaining_identity_content_blocker,remaining_blockers,recommended_migration_lane,reviewer_notes
jrhof-wp-3032,Bob Meisner,2005,Bob_Meisner.jpg,https://jrhof.org/inductees/bob_meisner/,Bob Meisner,2005,Bob_Meisner,Bob Meisner,2005,bob_meisner,Bob Meisner,True,links_to_bio,content/Bios/Bob_Meisner.docx,671,content/Photos/Bob_Meisner.jpg,False,content/Bios/Bob_Meisner.docx,content/Photos/Bob_Meisner.jpg,high,high,0.3558,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3050,Bob Mullerberg,Pre 1990,Bob_Mullerberg.jpg,https://jrhof.org/inductees/bob_mullerberg/,Bob Mullerberg,Pre 1990,Bob_Mullerberg,Bob Mullerberg,,bob_mullerberg,Bob Mullerberg,True,links_to_bio,,0,content/Photos/Bob_Mullerberg.jpg,False,,content/Photos/Bob_Mullerberg.jpg,none,high,,True,False,True,False,True,False,biography/content,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-3058,Bob Ottewill,2006,Bob_Ottewill.jpg,https://jrhof.org/inductees/bob_ottewill/,Bob Ottewill,2006,Bob_Ottewill,Bob Ottewill,2006,bob_ottewill,Bob Ottewill,True,links_to_bio,content/Bios/Bob_Ottewill.docx,563,content/Photos/Bob_Ottewill.jpg,False,content/Bios/Bob_Ottewill.docx,content/Photos/Bob_Ottewill.jpg,high,high,0.6391,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3144,Bob Westhoff,1995,Bob_Westhoff.jpg,https://jrhof.org/inductees/bob_westhoff/,Bob Westhoff,1995,Bob_Westhoff,Bob Westhoff,1995,bob_westhoff,Bob Westhoff,True,links_to_bio,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-2992,Bruce Bradshaw,2011,Bruce_Bradshaw.jpg,https://jrhof.org/inductees/bruce_bradshaw/,Bruce Bradshaw,2011,Bruce_Bradshaw,Bruce Bradshaw,2011,bruce_bradshaw,Bruce Bradshaw,True,links_to_bio,content/Bios/Bruce_Bradshaw.docx,445,content/Photos/Bruce_Bradshaw.jpg,False,content/Bios/Bruce_Bradshaw.docx,content/Photos/Bruce_Bradshaw.jpg,high,high,0.1469,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-2986,Bruce Grigsby,2012,Bruce_Grigsby.jpg,https://jrhof.org/inductees/bruce_grigsby/,Bruce Grigsby,2012,Bruce_Grigsby,Bruce Grigsby,2012,bruce_grigsby,Bruce Grigsby,True,links_to_bio,content/Bios/Bruce_Grigsby.docx,557,content/Photos/Bruce_Grigsby.jpg,False,content/Bios/Bruce_Grigsby.docx,content/Photos/Bruce_Grigsby.jpg,high,high,0.0765,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-2983,Bud Best,1996,Bud_Best.jpg,https://jrhof.org/inductees/bud_best/,Bud Best,1996,Bud_Best,Bud Best,1996,bud_best,Bud Best,True,links_to_bio,content/Bios/Bud_Best.docx,421,content/Photos/Bud_Best.jpg,False,content/Bios/Bud_Best.docx,content/Photos/Bud_Best.jpg,high,high,0.7039,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3152,Bud Schoepflin,2004,Bud_Schoepflin.jpg,https://jrhof.org/inductees/bud_schoepflin/,Bud Schoepflin,2004,Bud_Schoepflin,Bud Schoepflin,2004,bud_schoepflin,Bud Schoepflin,True,links_to_bio,content/Bios/Bud_Schoepflin.docx,688,content/Photos/Bud_Schoepflin.jpg,False,content/Bios/Bud_Schoepflin.docx,content/Photos/Bud_Schoepflin.jpg,high,high,0.6326,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3035,"Carl Zele, Jr",2008,Carl_Zele.jpg,https://jrhof.org/inductees/carl_zele_jr/,"Carl Zele, Jr",2008,Carl_Zele_Jr,Carl Zele Jr,2008,carl_zele_jr,Carl Zele,True,links_to_bio,content/Bios/Carl_Zele_Jr.docx,667,content/Photos/Carl_Zele.jpg,False,content/Bios/Carl_Zele_Jr.docx,content/Photos/Carl_Zele.jpg,high,high,0.0926,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-2998,Charlie Chainhalt,1992,Charlie_Chainhalt.jpg,https://jrhof.org/inductees/charlie_chainhalt/,Charlie Chainhalt,1992,Charlie_Chainhalt,Charlie Chainhalt,1992,charlie_chainhalt,Charlie Chainhalt,True,links_to_bio,content/Bios/Charlie_Chainhalt.docx,432,content/Photos/Charlie_Chainhalt.jpg,False,content/Bios/Charlie_Chainhalt.docx,content/Photos/Charlie_Chainhalt.jpg,high,high,0.6583,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3129,Chris Dittman,2000,Chris_Dittman.jpg,https://jrhof.org/inductees/chris_dittman/,Chris Dittman,2000,Chris_Dittman,Chris Dittman,2000,chris_dittman,Chris Dittman,True,links_to_bio,content/Bios/Chris_Dittman.docx,597,content/Photos/Chris_Dittman.jpg,False,content/Bios/Chris_Dittman.docx,content/Photos/Chris_Dittman.jpg,high,high,0.6414,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3094,Chuck Denney,Pre 1990,Chuck_Denney.jpg,https://jrhof.org/inductees/chuck_denney/,Chuck Denney,Pre 1990,Chuck_Denney,Chuck Denney,,chuck_denney,Chuck Denney,True,links_to_bio,content/Bios/Chuck_Denney.docx,514,content/Photos/Chuck_Denney.jpg,False,content/Bios/Chuck_Denney.docx,content/Photos/Chuck_Denney.jpg,high,high,0.6621,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-2996,Cliff Hendrick,1997,Cliff_Hendrick.jpg,https://jrhof.org/inductees/cliff_hendrick/,Cliff Hendrick,1997,Cliff_Hendrick,Cliff Hendrick,1997,cliff_hendrick,Cliff Hendrick,True,links_to_bio,content/Bios/Cliff_Hendrick.docx,467,content/Photos/Cliff_Hendrick.jpg,False,content/Bios/Cliff_Hendrick.docx,content/Photos/Cliff_Hendrick.jpg,high,high,0.6527,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3055,Dan Cholas,2014,Dan_Cholas.jpg,https://jrhof.org/inductees/dan_cholas/,Dan Cholas,2014,Dan_Cholas,Dan Cholas,2014,dan_cholas,Dan Cholas,True,links_to_bio,content/Bios/Dan_Cholas.docx,641,content/Photos/Dan_Cholas.jpg,False,content/Bios/Dan_Cholas.docx,content/Photos/Dan_Cholas.jpg,high,high,0.2718,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3031,Dan Ringsby,2020,Dan_Ringsby.jpg,https://jrhof.org/inductees/dan_ringsby/,Dan Ringsby,2020,Dan_Ringsby,Dan Ringsby,2020,dan_ringsby,Dan Ringsby,True,links_to_bio,,0,content/Photos/Dan_Ringsby.jpg,False,,content/Photos/Dan_Ringsby.jpg,none,high,,True,False,True,False,True,False,biography/content,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-1231,Dan Weikle,2024,Dan _Weikle.jpg,https://jrhof.org/inductees/dan_weikle/,Dan Weikle,2024,Dan_Weikle,Dan Weikle,2024,dan_weikle,Dan Weikle,True,links_to_bio,content/Bios/Dan_Weikle.docx,604,content/Photos/Dan_Weikle.jpg,False,content/Bios/Dan_Weikle.docx,content/Photos/Dan_Weikle.jpg,high,high,0.1532,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3045,Dave Baker,2023,Dave_Baker.jpg,https://jrhof.org/inductees/dave_baker/,"Dave ""Chick"" Baker",2023,Dave_Chick_Baker,"Dave ""Chick"" Baker",2023,dave_baker,Dave Baker,True,links_to_bio,content/Bios/Dave_Chick_Baker.docx,220,content/Photos/Dave_Baker.jpg,False,content/Bios/Dave_Chick_Baker.docx,content/Photos/Dave_Baker.jpg,high,high,0.9768,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3140,Dave Schmidt,2011,Dave_Schmidt.jpg,https://jrhof.org/inductees/dave_schmidt/,Dave Schmidt,2011,Dave_Schmidt,Dave Schmidt,2011,dave_schmidt,Dave Schmidt,True,links_to_bio,content/Bios/Dave_Schmidt.docx,463,content/Photos/Dave_Schmidt.jpg,False,content/Bios/Dave_Schmidt.docx,content/Photos/Dave_Schmidt.jpg,high,high,0.6955,False,True,False,False,False,False,,source_resolved_candidate,Original non-empty biography and person-specific .jpg resolve the prior source uncertainty; a Missing placeholder duplicate should be ignored.
jrhof-wp-3011,David Letofsky,Pre 1990,David_Letofsky.jpg,https://jrhof.org/inductees/david_letofsky/,David Letofsky,Pre 1990,David_Letofsky,David Letofsky,,david_letofsky,David Letofsky,True,links_to_bio,content/Bios/David_Letofsky.docx,447,content/Photos/David_Letofsky.jpg,False,content/Bios/David_Letofsky.docx,content/Photos/David_Letofsky.jpg,high,high,0.6888,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3104,Del Petersen,2000,Del_Petersen.jpg,https://jrhof.org/inductees/del_petersen/,Del Petersen,2000,Del_Petersen,Del Petersen,2000,del_petersen,Del Petersen,True,links_to_bio,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-2999,Dennis Smith,2017,Dennis_Smith.jpg,https://jrhof.org/inductees/dennis_smith/,Dennis Smith,2017,Dennis_Smith,Dennis Smith,2017,dennis_smith,Dennis Smith,True,links_to_bio,content/Bios/Dennis_Smith.docx,368,content/Photos/Dennis_Smith.jpg,False,content/Bios/Dennis_Smith.docx,content/Photos/Dennis_Smith.jpg,high,high,0.1513,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3068,Dick Cartin,1993,Dick_Cartin.jpg,https://jrhof.org/inductees/dick_cartin/,Dick Cartin,1993,Dick_Cartin,Dick Cartin,1993,dick_cartin,Dick Cartin,True,links_to_bio,content/Bios/Dick_Cartin.docx,434,content/Photos/Dick_Cartin.jpg,False,content/Bios/Dick_Cartin.docx,content/Photos/Dick_Cartin.jpg,high,high,0.1331,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3150,Dick Hotton,Pre 1990,Dick_Hotton.jpg,https://jrhof.org/inductees/dick_hotton/,Dick Hotton,Pre 1990,Dick_Hotton,Dick Hotton,,dick_hotton,Dick Hotton,True,links_to_bio,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-3013,Dick Reininger,2016,Dick_Reininger.jpg,https://jrhof.org/inductees/richard_reininger/,"Richard ""Dick"" Reininger",2016,Richard_Dick_Reininger,"Richard ""Dick"" Reininger",2016,richard_reininger,Richard “Dick” Reininger,True,links_to_bio,content/Bios/Richard_Dick_Reininger.docx,307,content/Photos/Dick_Reininger.jpg,False,content/Bios/Richard_Dick_Reininger.docx,content/Photos/Dick_Reininger.jpg,high,high,0.012,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-2989,Dick Yates,Pre 1990,Dick_Yates.jpg,https://jrhof.org/inductees/dick_yates/,Dick Yates,Pre 1990,Dick_Yates,Dick Yates,,dick_yates,Dick Yates,True,links_to_bio,content/Bios/Dick_Yates.docx,392,content/Photos/Dick_Yates.jpg,False,content/Bios/Dick_Yates.docx,content/Photos/Dick_Yates.jpg,high,high,0.195,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3166,Don Carlsen,2006,Don_Carlsen.jpg,https://jrhof.org/inductees/don_carlsen/,Don Carlsen,2006,Don_Carlsen,Don Carlsen,2006,don_carlsen,Don Carlsen,True,links_to_bio,content/Bios/Don_Carlsen.docx,646,content/Photos/Don_Carlsen.jpg,False,content/Bios/Don_Carlsen.docx,content/Photos/Don_Carlsen.jpg,high,high,0.6557,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3061,Don Cimaglia,1995,Don_Cimaglia.jpg,https://jrhof.org/inductees/don_cimaglia/,Don Cimaglia,1995,Don_Cimaglia,Don Cimaglia,1995,don_cimaglia,Don Cimaglia,True,links_to_bio,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media,board_content_review,Original DOCX is empty; .jpg is the same generic silhouette used for four people and is not a portrait.
jrhof-wp-3043,Don Hegi,2020,Don_Hegi.jpg,https://jrhof.org/inductees/don_hegi/,Don Hegi,2020,Don_Hegi,Don Hegi,2020,don_hegi,Don Hegi,True,links_to_bio,,0,content/Photos/Don_Hegi.jpg,False,,content/Photos/Don_Hegi.jpg,none,high,,True,False,True,False,True,False,biography/content,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-3049,Don Shiverdecker,Pre 1990,Don_Shiverdecker.jpg,https://jrhof.org/inductees/don_shiverdecker/,Don Shiverdecker,Pre 1990,Don_Shiverdecker,Don Shiverdecker,,don_shiverdecker,Don Shiverdecker,True,links_to_bio,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-3017,Don Stengel,2014,Don_Stengel.jpg,https://jrhof.org/inductees/don_stengel/,Don Stengel,2014,Don_Stengel,Don Stengel,2014,don_stengel,Don Stengel,True,links_to_bio,content/Bios/Don_Stengel.docx,406,content/Photos/Don_Stengel.jpg,False,content/Bios/Don_Stengel.docx,content/Photos/Don_Stengel.jpg,high,high,0.5467,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3109,Doug Graham,2016,Doug_Graham.jpg,https://jrhof.org/inductees/doug_graham/,Doug Graham,2016,Doug_Graham,Doug Graham,2016,doug_graham,Doug Graham,True,links_to_bio,content/Bios/Doug_Graham.docx,254,content/Photos/Doug_Graham.jpg,False,content/Bios/Doug_Graham.docx,content/Photos/Doug_Graham.jpg,high,high,0.2971,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3014,Ed OConnor,2013,Ed_OConnor.jpg,https://jrhof.org/inductees/ed_oconnor/,Ed OConnor,2013,Ed_OConnor,Ed O'Connor,2013,ed_oconnor,Ed OConnor,True,links_to_bio,content/Bios/Ed_OConnor.docx,450,content/Photos/Ed_OConnor.jpg,False,content/Bios/Ed_OConnor.docx,content/Photos/Ed_OConnor.jpg,high,high,0.2525,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3107,Ed Tracy,Pre 1990,Ed_Tracy.jpg,https://jrhof.org/inductees/ed_tracy/,Ed Tracy,Pre 1990,Ed_Tracy,Ed Tracy,,ed_tracy,Ed Tracy,True,links_to_bio,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-3067,Ed Underwood,1997,Ed_Underwood.jpg,https://jrhof.org/inductees/ed_underwood/,Ed Underwood,1997,Ed_Underwood,Ed Underwood,1997,ed_underwood,Ed Underwood,True,links_to_bio,content/Bios/Ed_Underwood.docx,409,content/Photos/Ed_Underwood.jpg,False,content/Bios/Ed_Underwood.docx,content/Photos/Ed_Underwood.jpg,high,high,0.0779,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3162,Edmund DHaillecourt,Pre 1990,Edmund_DHaillecourt.jpg,https://jrhof.org/inductees/edmund_dhaillecourt/,Edmund DHaillecourt,Pre 1990,Edmund_DHaillecourt,Edmund DHaillecourt,,edmund_dhaillecourt,Edmund DHaillecourt,True,links_to_bio,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media,board_content_review,Original DOCX is empty; .jpg is the same generic silhouette used for four people and is not a portrait.
jrhof-wp-3018,Edward Stevens,1990,Edward_Stevens.jpg,https://jrhof.org/inductees/edward_stevens/,Edward Stevens,1990,Edward_Stevens,Edward Stevens,1990,edward_stevens,Edward Stevens,True,links_to_bio,content/Bios/Edward_Stevens.docx,470,content/Photos/Edward_Stevens.jpg,False,content/Bios/Edward_Stevens.docx,content/Photos/Edward_Stevens.jpg,high,high,0.6894,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3053,Ernest Cavalieri,1993,Ernest_Cavalieri.jpg,https://jrhof.org/inductees/ernest_cavalieri/,Ernest Cavalieri,1993,Ernest_Cavalieri,Ernest Cavalieri,1993,ernest_cavalieri,Ernest Cavalieri,True,links_to_bio,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-3158,Ernie Kozacek,2006,Ernie_Kozacek.jpg,https://jrhof.org/inductees/ernie_kozacek/,Ernie Kozacek,2006,Ernie_Kozacek,Ernie Kozacek,2006,ernie_kozacek,Ernie Kozacek,True,links_to_bio,content/Bios/Ernie_Kozacek.docx,382,content/Photos/Ernie_Kozacek.jpg,False,content/Bios/Ernie_Kozacek.docx,content/Photos/Ernie_Kozacek.jpg,high,high,0.6514,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3026,Ernie Ortiz,2008,Ernie_Ortiz.jpg,https://jrhof.org/inductees/ernie_ortiz/,Ernie Ortiz,2008,Ernie_Ortiz,Ernie Ortiz,2008,ernie_ortiz,Ernie Ortiz,True,links_to_bio,content/Bios/Ernie_Ortiz.docx,628,content/Photos/Ernie_Ortiz.jpg,False,content/Bios/Ernie_Ortiz.docx,content/Photos/Ernie_Ortiz.jpg,high,high,0.0701,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3080,Ervin Douglas,Pre 1990,Ervin_Douglas.jpg,https://jrhof.org/inductees/ervin_douglas/,Ervin Douglas,Pre 1990,Ervin_Douglas,Ervin Douglas,,ervin_douglas,Ervin Douglas,True,links_to_bio,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media,board_content_review,Original DOCX is empty; .jpg is the same generic silhouette used for four people and is not a portrait.
jrhof-wp-3112,Francis Ford,1992,Francis_Ford.jpg,https://jrhof.org/inductees/francis_ford/,Francis Ford,1992,Francis_Ford,Francis Ford,1992,francis_ford,Francis Ford,True,no_link,,0,,,,,none,none,,True,True,True,True,True,False,biography/content; portrait/media; live_archive_link,board_content_review,Review remaining source gaps and prior audit notes.
jrhof-wp-3070,Frank DeAngelis,2009,Frank_DeAngelis.jpg,https://jrhof.org/inductees/frank_deangelis/,Frank DeAngelis,2009,Frank_DeAngelis,Frank DeAngelis,2009,frank_deangelis,Frank DeAngelis,True,links_to_bio,content/Bios/Frank_DeAngelis.docx,832,content/Photos/Frank_DeAngelis.jpg,False,content/Bios/Frank_DeAngelis.docx,content/Photos/Frank_DeAngelis.jpg,high,high,0.1155,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3002,Frank Messenger,2000,Frank_Messenger.jpg,https://jrhof.org/inductees/frank_messenger/,Frank Messenger,2000,Frank_Messenger,Frank Messenger,2000,frank_messenger,Frank Messenger,True,links_to_bio,content/Bios/Frank_Messenger.docx,637,content/Photos/Frank_Messenger.jpg,False,content/Bios/Frank_Messenger.docx,content/Photos/Frank_Messenger.jpg,high,high,0.1263,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3057,Frank Prentup,Pre 1990,Frank_Prentup.jpg,https://jrhof.org/inductees/frank_prentup/,Frank Prentup,Pre 1990,Frank_Prentup,Frank Prentup,,frank_prentup,Frank Prentup,True,links_to_bio,content/Bios/Frank_Prentup.docx,821,content/Photos/Frank_Prentup.jpg,False,content/Bios/Frank_Prentup.docx,content/Photos/Frank_Prentup.jpg,high,high,0.6194,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3030,Frank Zele,1990,Frank_Zele.jpg,https://jrhof.org/inductees/frank_zele/,Frank Zele,1990,Frank_Zele,Frank Zele,1990,frank_zele,Frank Zele,True,links_to_bio,content/Bios/Frank_Zele.docx,219,,,content/Bios/Frank_Zele.docx,,high,none,0.6938,False,True,False,True,False,False,portrait/media,media_blocked,Review remaining source gaps and prior audit notes.
jrhof-wp-3101,Fred Zuercher,2026,Fred_Zuercher.jpg,https://jrhof.org/inductees/fred_zuercher/,Fred Zuercher,2026,Fred_Zuercher,Fred Zuercher,2026,fred_zuercher,Fred Zuercher,True,links_to_bio,content/Bios/Fred_Zuercher.docx,1313,content/Photos/Fred_Zuercher.jpg,False,content/Bios/Fred_Zuercher.docx,content/Photos/Fred_Zuercher.jpg,high,high,0.3889,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3157,Fritz Johnstone,2010,Fritz_Johnstone.jpg,https://jrhof.org/inductees/fritz_johnstone/,Fritz Johnstone,2010,Fritz_Johnstone,Fritz Johnstone,2010,fritz_johnstone,Fritz Johnstone,True,links_to_bio,content/Bios/Fritz_Johnstone.docx,460,content/Photos/Fritz_Johnstone.jpg,False,content/Bios/Fritz_Johnstone.docx,content/Photos/Fritz_Johnstone.jpg,high,high,0.6414,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3005,Gary Baker,2003,Gary_Baker.jpg,https://jrhof.org/inductees/gary_baker/,Gary Baker,2003,Gary_Baker,Gary Baker,2003,gary_baker,Gary Baker,True,links_to_bio,content/Bios/Gary_Baker.docx,368,content/Photos/Gary_Baker.jpg,False,content/Bios/Gary_Baker.docx,content/Photos/Gary_Baker.jpg,high,high,0.6854,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3106,Gene Bunnelle,1990,Gene_Bunnelle.jpg,https://jrhof.org/inductees/gene_bunnelle/,Gene Bunnelle,1990,Gene_Bunnelle,Gene Bunnelle,1990,gene_bunnelle,Gene Bunnelle,True,links_to_bio,content/Bios/Gene_Bunnelle.docx,430,content/Photos/Gene_Bunnelle.jpg,False,content/Bios/Gene_Bunnelle.docx,content/Photos/Gene_Bunnelle.jpg,high,high,0.1286,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
